id,name,brewery_type,city,state_province,country,latitude,longitude
6fdaf0f7-d914-4314-b744-eae724453c6e,Melvin Brewing,regional,Eureka,Missouri,United States,38.52826,-90.649695
03ed67c1-0784-4817-971f-581a95060e7c,Melvin Brewing Bellingham,closed,Bellingham,Washington,United States,48.7621709,-122.485982
6f582cf6-b505-4ae4-9e2a-b5b7f1e72d71,Melvin Brewing Co,closed,Jackson,Wyoming,United States,43.47859778,-110.7618578
718cf6aa-a2a3-4264-bbae-7a0067d87853,Memphis Made Brewing Company,micro,Memphis,Tennessee,United States,35.124723,-89.990701
9221185e-c3ed-44ea-8131-d7077e7d3b0f,Menace Brewing,micro,Bellingham,Washington,United States,48.76355086,-122.4862211
c7488d6b-4ebe-4799-9b2f-931180e510c5,Merino Brewery,micro,Narellan,NSW,Australia,-34.037039,150.7265874
72c36c03-55db-4310-8b6f-66ed9942c29e,Merrimack Ales,micro,Lowell,Massachusetts,United States,42.625366,-71.300252
0568b76d-4876-4cb9-a919-cfbf8a2e566c,Mescan Brewery,micro,Kilsallagh,Mayo,Ireland,53.7471934,9.73047
606eeca9-1d11-4af6-a95f-a526d5f17be4,Metal Monkey Brewing LLC,micro,Romeoville,Illinois,United States,41.6450575,-88.07788064
58d4385e-b363-4d10-b5dd-a0cc7aeb965e,Metalman Brewing Company,micro,Waterford,Waterford,Ireland,52.2562844,-7.1302473
42431b40-da93-44f6-923c-98a25a89e376,Metazoa Brewing Co.,micro,Indianapolis,Indiana,United States,39.76455049,-86.14585025
f1cf8825-e95c-4613-9a22-5700681d3f41,Method Brewing,micro,Islington,NSW,Australia,-32.919424,151.7509955
16563e2d-05ad-43d9-a393-a7db75c1d29d,Metier Brewing Company,micro,Woodinville,Washington,United States,47.76422098,-122.1515611
80cea19e-4e59-4e82-94a3-5b3cb0cd29b3,Metropolitan Brewing,micro,Chicago,Illinois,United States,41.9376382,-87.6912391
d30adc33-3715-41b2-950c-63c2e906629f,Mexitaly Brick Oven Brewhouse,brewpub,York,Pennsylvania,United States,39.9735865,-76.6781639
61bd6b89-b37b-4793-a3a5-b2de69f0aeea,Mia and Pias Pizzeria/Brewhouse,brewpub,Klamath Falls,Oregon,United States,42.19324978,-121.7375719
c35a6630-0112-4f4f-b853-696bad041990,MickDuff's Brewing Co,micro,Sandpoint,Idaho,United States,48.27597,-116.54764
7cb839b2-bd03-4672-a7b4-1d1946e32b8a,Mickey Finns Brewery,brewpub,Libertyville,Illinois,United States,42.2863321,-87.9542955
b7b96ece-e357-4fcf-b195-954b618ca4b6,Middle Brow Beer Company,micro,Chicago,Illinois,United States,41.9177811,-87.6988905
cf57e209-8ef4-4a27-8ef6-d538050e38a1,Middleton Brewing Co,brewpub,Everett,Washington,United States,47.911397,-122.224702
146870a5-aad1-4b3a-9b25-c4af2a711f1a,Midland Brewing Co,brewpub,Midland,Michigan,United States,43.6408678,-84.2910925
9666ffc8-a890-450e-b3b0-16b5db29a5cc,Midnight Jack Brewing Company,closed,Oceanside,California,United States,33.204836,-117.304737
1f6bc6e7-aa85-49d5-b281-ecd1cf7cc8df,Midnight Sun Brewing Co,micro,Anchorage,Alaska,United States,61.1471249,-149.8445465
fec0e3af-f2bd-4b39-ab32-3c30fc0b1e6e,Midnite Mine Brewpub,micro,Fairbanks,Alaska,United States,64.845689,-147.714159
2ec76a90-b0eb-41c1-88b9-865fdb61db18,Mighty Mo Brew Co,brewpub,Great Falls,Montana,United States,47.50518307,-111.3004488
65621b87-399c-4756-915a-4a0b8f2fb89b,Mighty Squirrel,regional,Boston,Massachusetts,United States,42.3472393126807,-71.10122834738092
